songID,artistID
1,3506
2,1160
3,2255
3,2912
4,1147
5,557
6,3826
6,2488
7,2733
8,685
9,1084
2419,3436
11,613
12,3676
13,1311
14,2763
15,3734
16,778
16,2584
16,2421
17,642
18,3686
19,1315
20,3745
21,3622
22,1856
23,3409
24,1539
24,3267
25,866
26,3199
27,2984
28,1200
29,3686
30,440
31,365
32,1630
33,3534
33,778
34,2970
4002,468
36,3172
37,3409
38,1376
5218,1126
40,2844
41,2483
42,1212
43,3383
44,3804
45,1591
46,1522
47,849
48,1682
49,2537
50,1785
51,1108
51,2037
52,1028
53,2311
54,1051
55,3647
55,205
56,324
57,3812
58,700
59,1304
60,1941
61,2138
61,1434
61,3664
62,1782
63,948
64,1630
65,1114
65,3656
66,713
67,1772
68,740
69,1849
70,355
71,3236
72,2204
72,3302
73,1884
74,698
75,1053
75,1751
76,2135
77,3146
77,1728
78,1514
79,1986
80,2758
81,153
82,3284
83,2015
84,3745
85,480
86,815
87,741
88,290
88,742
89,2214
90,917
90,548
90,644
91,3207
92,2375
93,778
93,1712
94,3427
95,534
95,1169
96,3446
97,3381
98,3494
99,2640
100,782
101,1645
102,3818
103,1938
103,2733
104,368
105,1645
106,3172
107,2485
108,2212
109,977
110,1144
111,2226
112,83
113,931
113,2033
114,3041
115,620
116,731
117,2260
118,2863
119,3396
120,3095
121,783
122,1884
123,459
124,635
1729,2152
1729,3163
126,1069
127,1017
128,3837
128,1302
129,3095
130,1451
130,2199
131,2568
132,316
133,2764
134,2940
135,1387
136,2113
136,2365
137,3307
138,1025
138,2728
139,3374
140,2913
140,158
141,1376
141,1499
142,1285
142,1831
143,418
144,2504
145,3665
146,685
147,2417
148,3665
149,3296
150,1126
151,2728
152,2914
152,2138
153,1092
153,712
154,1658
155,985
156,3086
157,274
158,1114
158,1308
159,2896
160,1586
160,3311
161,1298
162,3592
163,1298
164,2250
165,379
166,3199
167,3286
168,3629
169,3688
170,3215
171,1008
172,949
173,3362
174,1782
175,2559
176,1295
177,1016
177,503
178,3015
179,2922
179,2146
180,2287
181,1661
182,1219
183,2244
184,2250
185,192
186,922
186,2838
187,2940
187,550
188,1736
189,1017
190,3280
191,2084
192,2940
192,550
193,973
194,1162
195,3170
196,1655
196,1720
197,985
197,1025
197,31
198,3460
199,3465
200,953
200,1330
